,scenario,intent,status,answer_annotation,suggested_entities,question,review,remove
565,alarm,query,nan,how many alarms are listed,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
566,alarm,query,nan,do i have any alarms set for [date : tomorrow],nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
567,alarm,query,nan,what's the alarm situation for [date : tomorrow],nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
568,alarm,remove,nan,turn off [time : eight am] alarm,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
569,alarm,remove,nan,cancel my [time : eight am] alarm,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
570,alarm,remove,nan,get rid of my [time : eight am] alarm,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
610,alarm,set,nan,start alarm,"date, time",How would you ask your PDA to set an alarm?,False,False
611,alarm,set,nan,set alarm to begin,"date, time",How would you ask your PDA to set an alarm?,False,False
612,alarm,set,MOD,change alarm to start at [time : midnight],"date, time",How would you ask your PDA to set an alarm?,False,False
619,alarm,set,MOD,i want to wake up at [time : six am] [date : tomorrow] please,"date, time",How would you ask your PDA to set an alarm?,False,False
620,alarm,set,nan,please set the alarm for [timeofday : next morning] to [time : seven am],"date, time",How would you ask your PDA to set an alarm?,False,False
621,alarm,set,nan,please ring the [alarm_type : wake up] alarm at [time : eight am] next [date : saturday],"date, time",How would you ask your PDA to set an alarm?,False,False
666,alarm,query,nan,can you tell me what alarms i have set,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
667,alarm,query,nan,do i have any alarms set for [date : today],"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
668,alarm,query,nan,how many alarms do i have set,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,True,False
724,alarm,query,nan,what alarms are set for [date : today],nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
725,alarm,query,nan,[date : today] how many alarms do i have set,nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
753,alarm,set,nan,create an alarm at [time : four] o'clock [date : tomorrow] [timeofday : morning],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
754,alarm,set,nan,make an alarm to wake me up [time : after five hours],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
755,alarm,set,nan,schedule an alarm to wake me up [time : after three hours],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
834,alarm,query,nan,confirm alarm for [date : tomorrow] [timeofday : morning],"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
835,alarm,query,nan,what time is the alarm set for [date : tomorrow],"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
836,alarm,query,nan,confirm my alarm settings,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
877,alarm,remove,nan,remove [alarm_type : wake up] calls for [date : this week],"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
878,alarm,remove,nan,cancel [alarm_type : wake up] calls for [date : this week],"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
879,alarm,remove,nan,stop [alarm_type : wake up] calls for [date : this week],"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
885,alarm,query,nan,what alarms are set right now,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
886,alarm,query,nan,what alarms will wake me up [date : tomorrow],nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
887,alarm,query,nan,are there any alarms set right now,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
902,alarm,query,nan,my set alarms,nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
903,alarm,query,nan,alarm settings,nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
904,alarm,query,nan,my alarms,nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
929,alarm,set,nan,set alarm for [time : eight am],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
930,alarm,set,nan,alarm set [time : eight am],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
940,alarm,remove,nan,turn off the alarm for [date : tomorrow] [timeofday : morning],"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
941,alarm,remove,nan,turn off the [time : six am] alarm for [date : Wednesday],"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
942,alarm,remove,nan,turn off any [timeofday : morning] alarms [date : after Friday],"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
967,alarm,remove,nan,remove my [timeofday : morning] alarm,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
968,alarm,remove,nan,please delete my [timeofday : morning] alarm,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
969,alarm,remove,nan,please remove my alarm,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
987,alarm,remove,IRR,phones,"date, time",How would you ask your PDA to remove an alarm you have set.,False,True
988,alarm,remove,IRR,personal data assistants,"date, time",How would you ask your PDA to remove an alarm you have set.,False,True
989,alarm,set,nan,set my alarm for [time : seven am],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
990,alarm,set,nan,turn my [timeofday : morning] alarm on,"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
991,alarm,set,nan,set my alarm please,"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
1005,alarm,set,nan,set the alarm for [time : five] o'clock in the [timeofday : morning],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
1006,alarm,set,nan,set my alarm for [time : six thirty] in the [timeofday : morning] [date : tomorrow],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
1007,alarm,set,MOD,i want the alarm set for [time : six],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
1056,alarm,remove,nan,delete my alarm for [time : eight am],"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
1057,alarm,remove,nan,remove my alarm for [date : tomorrow] [timeofday : morning],"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
1058,alarm,remove,nan,please turn off my alarm for [timeofday : this evening],"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
1093,alarm,query,nan,is my work alarm set for [date : tomorrow],nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
1094,alarm,query,nan,what alarms do i have set for [date : thursday],nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
1095,alarm,query,nan,is my school alarm set,nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
1197,alarm,set,nan,put alarm on,"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
1198,alarm,set,MOD,set alarm at [time : five thirty am],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
1199,alarm,set,nan,place alarm at [time : five] o'clock [timeofday : morning],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
1255,alarm,remove,MOD,[time : two am] removed,"date, time",How would you ask your PDA to remove an alarm you have set.,False,True
1257,alarm,remove,MOD,[time : twelve am] removed,"date, time",How would you ask your PDA to remove an alarm you have set.,False,True
1259,alarm,remove,MOD,[time : one pm] removed,"date, time",How would you ask your PDA to remove an alarm you have set.,False,True
1283,alarm,remove,nan,disable alarm for [time : three pm],"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
1284,alarm,remove,nan,disable my [time : three pm] alarm,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
1285,alarm,remove,nan,cancel my [time : three pm] alarm,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
1352,alarm,query,nan,when is my alarm set for,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
1353,alarm,query,nan,how many alarms do i have,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
1354,alarm,query,nan,is my alarm set for [date : tomorrow] [timeofday : morning],"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
1434,alarm,query,nan,what alarms do i have scheduled for [date : tomorrow],"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
1435,alarm,query,nan,what alarms are set in the [timeofday : morning],"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
1545,alarm,query,nan,what alarms do i got,nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
1546,alarm,query,nan,let me see my alarms,nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
1547,alarm,query,nan,what alarms do i have,nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
1564,alarm,remove,nan,remove the alarm for [date : tomorrow],"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
1565,alarm,remove,nan,change the alarm weekly settings,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
1566,alarm,remove,nan,set the alarm off,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
1598,alarm,query,nan,what alarms did i set,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
1599,alarm,query,nan,review the alarms i have,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
1600,alarm,query,nan,list all the alarms,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
1738,alarm,query,nan,check whether i have set any alarms for [date : tomorrow] [timeofday : morning],"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
1739,alarm,query,nan,what time is the alarm set for [date : tomorrow] [timeofday : morning],"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
1740,alarm,query,nan,is the alarm set for [date : tomorrow] [timeofday : morning],"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
1765,alarm,set,nan,set the time,"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
1766,alarm,query,IRR_XL,am or pm,"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,True,True
1767,alarm,set,nan,set the alarm tone,"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
1774,alarm,query,nan,show me my alarms,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
1775,alarm,query,nan,how many alarms do i have set,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
1776,alarm,query,nan,what times do my alarms go off,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
1787,alarm,query,nan,do i have any alarms set,nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
1788,alarm,query,nan,are there any alarms going off [date : today],nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
1789,alarm,query,nan,can you tell me if i have any alarms set,nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
1799,alarm,query,nan,show me all scheduled alarms,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
1800,alarm,query,nan,how many alarms are currently set,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
1801,alarm,query,nan,i want to see all set alarms,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
1819,alarm,remove,MOD,remove alarm of [time : seven thirty am] on [date : monday],"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
1820,alarm,remove,MOD,remove [date : tuesday] alarm of [time : nine am],"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
1821,alarm,remove,MOD,remove [time : six am] alarm of [time : whole week] for future,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
1865,alarm,set,MOD,set alarm of only [date : monday] [timeofday : morning] [time : six am],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
1866,alarm,set,MOD,set alarm of every [date : tuesday] of [date : march] month [timeofday : morning] [time : eight am],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
1867,alarm,set,MOD,set alarm of [time : whole week] [timeofday : morning] [time : ten am] in [date : april] month,"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
1881,alarm,query,nan,checkout [date : today] set alarm of [time : ten am],nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
1882,alarm,query,nan,checkout [date : today] third set alarm,nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
1883,alarm,query,nan,checkout [date : today] alarm of meeting,nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
1927,alarm,set,nan,please set alarm at [time : five pm],nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
1928,alarm,set,nan,wake me up at [time : six am],nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
1929,alarm,remove,nan,turn off the alarm,nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
2037,alarm,query,nan,when does my alarm go off,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
2038,alarm,query,nan,have i got any alarms set,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
2039,alarm,query,nan,what alarms are on right now,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
2072,alarm,set,nan,put alarm at [time : five am],nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
2092,alarm,set,nan,set alarm at [time : five am],"date, time",How would you ask your PDA to set an alarm?,False,False
2093,alarm,set,nan,wake me up at [time : five am],"date, time",How would you ask your PDA to set an alarm?,False,False
2094,alarm,set,nan,alert me at [time : five] hours,"date, time",How would you ask your PDA to set an alarm?,False,False
2172,alarm,query,nan,have i set any alarm for [date : today],"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
2173,alarm,query,nan,if there are any alarms set then let me know,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,True,False
2174,alarm,remove,nan,please remove the alarm which i set for [date : today] [timeofday : morning],"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
2181,alarm,set,nan,set alarm at [time : six thirty am],nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
2182,alarm,set,nan,set alarm [time : half an hour from my meal time],nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
2297,alarm,query,nan,is my [alarm_type : wake up] alarm set a [time : six am],nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
2298,alarm,query,nan,what time is set for my [alarm_type : wake up] alarm,nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
2299,alarm,set,nan,set my alarm for [time : six am] [date : tomorrow],nan,Write what you would tell your PDA in the following scenario: you to know about any alarms you have set.,False,False
2358,alarm,set,nan,wake me up,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
2359,alarm,query,nan,when is the next alarm,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
2360,alarm,remove,nan,remove my [time : four am] alarm,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
2371,alarm,set,nan,open alarm,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
2392,alarm,set,MOD,set an alarm for [date : tomorrow] at [time : six] in the [timeofday : morning],"date, time",How would you ask your PDA to set an alarm?,False,False
2393,alarm,set,nan,get me up in [time : half an hour],"date, time",How would you ask your PDA to set an alarm?,False,False
2394,alarm,set,nan,ring the alarm when i get home,"date, time",How would you ask your PDA to set an alarm?,False,False
2395,alarm,remove,nan,turn off my alarm,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
2396,alarm,remove,nan,snooze,"date, time",How would you ask your PDA to remove an alarm you have set.,True,False
2397,alarm,remove,nan,change my alarm,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
2424,alarm,set,nan,make an alarm,"date, time",How would you ask your PDA to set an alarm?,False,False
2425,alarm,set,MOD,fix an alarm,"date, time",How would you ask your PDA to set an alarm?,False,False
2426,alarm,set,nan,set an alarm,"date, time",How would you ask your PDA to set an alarm?,False,False
2482,alarm,set,nan,wake up time,"event_name, event_requency, time",Write what you would tell your PDA in the following scenario: you want to set a repeating reminder in your calendar.,False,False
2520,alarm,set,nan,wake me up at [time : four am],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
2521,alarm,set,nan,alarm for [time : ten am],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
2522,alarm,set,nan,set alarm for [time : twelve weeks from today] at [time : eight am],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
2578,alarm,set,MOD,set alarm for [time : six am] [date : tomorrow],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
2579,alarm,set,MOD,add an alarm for [date : tomorrow] [timeofday : morning] at [time : six am],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
2580,alarm,set,MOD,make an alarm and wake me up at [time : six am] [date : tomorrow] [timeofday : morning],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,True,False
2682,alarm,query,nan,alarm status,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
2683,alarm,query,nan,please check alarms,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
2684,alarm,query,nan,what alarms are upcoming,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
2767,alarm,set,nan,set an alarm for time,"date, time",How would you ask your PDA to set an alarm?,False,False
2768,alarm,set,nan,set my alarm for time,"date, time",How would you ask your PDA to set an alarm?,False,False
2769,alarm,set,nan,alarm set for time,"date, time",How would you ask your PDA to set an alarm?,False,False
2770,alarm,set,MOD_XL,set my alarm for [date : tuesday] at [time : six pm],"date, time",How would you ask your PDA to set an alarm?,False,False
2771,alarm,set,nan,i need to set an alarm for next [date : friday] at [timeofday : noon],"date, time",How would you ask your PDA to set an alarm?,False,False
2832,alarm,set,nan,set an alarm for [date : tomorrow] [timeofday : morning] at [time : eight],"date, time",How would you ask your PDA to set an alarm?,False,False
2833,alarm,set,nan,please set the alarm for next [date : friday] at [time : six thirty am],"date, time",How would you ask your PDA to set an alarm?,False,False
2834,alarm,set,nan,need an alarm set for [date : sunday] at [time : five] in the [timeofday : morning],"date, time",How would you ask your PDA to set an alarm?,False,False
2885,alarm,set,nan,make an alarm for me at [time : five am] [date : tomorrow],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
2886,alarm,set,nan,set the alarm for [time : two hours] from now,"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
2887,alarm,set,nan,set an alarm for [time : one hour] from now,"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
2962,alarm,query,nan,would you please check to see if i've set my alarm for [date : tomorrow] [timeofday : morning],nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
2963,alarm,query,nan,how many alarms do i have set for [timeofday : morning] hours between [time : six and nine am],nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
2964,alarm,query,nan,did i remember to set a reminder alarm for my next [event_name : doctor's appointment],nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
3014,alarm,set,nan,wake me up at [time : five hundred and thirty],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
3015,alarm,set,nan,set an alarm for [time : five hundred and thirty],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
3016,alarm,set,nan,set my alarm for [time : five hundred and thirty],"date, time",Write what you would tell your PDA in the following scenario: to set an alarm.,False,False
3126,alarm,query,nan,how many alarms have i set,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
3173,alarm,query,nan,tell me my alarms,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
3174,alarm,query,nan,what alarms have been set for me,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
3175,alarm,query,nan,do i have alarms set,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
3176,alarm,query,nan,do i have alarms set for [date : today],nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
3180,alarm,remove,nan,cancel the alarm that is set for [date : tomorrow] at [time : eight am],"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
3181,alarm,remove,nan,please cancel all alarms for [date : tomorrow],"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
3182,alarm,remove,nan,please remove any alarms that i have set,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
3264,alarm,query,nan,what time are my alarms,nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
3265,alarm,query,nan,is there an alarm for [time : ten am],nan,How would you ask your PDA to tell you about the alarms it has set.,False,False
3294,alarm,remove,nan,remove set alarm,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
3295,alarm,remove,nan,delete scheduled alarm,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
3296,alarm,remove,nan,cancel alarm,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
3351,alarm,remove,nan,reset alarm,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
3352,alarm,query,nan,what time is alarm set for,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
3353,alarm,query,nan,next alarm,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
3369,alarm,remove,nan,please remove this alarm,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
3370,alarm,remove,nan,i would like this alarm permanently removed,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
3371,alarm,remove,nan,this alarm needs to be permanently silenced,"date, time",How would you ask your PDA to remove an alarm you have set.,False,False
3455,alarm,query,nan,what time is my wakeup alarm set for,"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
3456,alarm,query,nan,do i have any alarms for [date : tomorrow] [timeofday : morning],"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
3457,alarm,query,nan,when will my alarm go off in the [timeofday : morning],"date, time",Write what you would tell your PDA in the following scenario: you want to know about any alarms you have set.,False,False
